text,sentiment,customer_intent,primary_aspect,aspect_flag
Nice Zzzz,2,2,4,fallback_support
Delivery not received and information wrongly updated,0,0,2,damage_lost
Very good bihaviar and very humble Boy,2,2,4,fallback_support
Dilevry boy is too much good,2,2,4,fallback_support
extremely quick deliver,2,2,4,fallback_support
Fuhdgggg,1,1,4,fallback_support
Delivered on time but,1,1,4,fallback_support
All is well but befor delivery a call or massege should be made so that customer know that delivery man is comming.9,1,1,4,support
Market mill jaye isse Badi or rajva Joe,1,0,4,fallback_support
Good service..Delivery on the time..,2,2,4,fallback_support
Service is good 9/10 times,2,2,4,fallback_support
Very good experience till date,2,2,4,fallback_support
Very poor service courier boy not delivered self received in blue dart office sahadatgnj faizabad 2 days delay delivery not responce,0,0,0,delay
Improve on prompt delivery,1,1,4,fallback_support
my box was unboxed,0,0,4,fallback_support
Deliver to wrong person and fraud. Bank should be blamed. I don? get my credit card. It will be misused Bank should be blamed.,0,0,4,fallback_support
Old item recived,0,0,4,fallback_support
Delivery ? agent nature is very polite.,2,2,4,fallback_support
The best court our service,2,2,4,fallback_support
The delivery person was very polite and good at delivery of the item,2,2,4,fallback_support
Good service with timely deliver,2,2,4,fallback_support
Behaviour of the delivery guy is very bad.,0,0,4,fallback_support
Happy with Blue Dart Service.,2,2,4,fallback_support
The delivery lady is very professional,2,2,4,fallback_support
Not delivered my equipment,0,0,4,fallback_support
Tushar who usually delivers in our area is a pleasant and efficient agent.,2,2,4,fallback_support
Everything is perfect. Fast delivery. Delivery person is very polite and cooperative.,2,2,4,fallback_support
Good service . Humble and polite,2,2,4,fallback_support
Your delivery executive didn't contact me before returning the mail as I was in office when he attempted. Daily I was prompted for reschedule for more than 4 times without any proper delivery attempt by him. I was made to wait for more than 4 days and it was delivered today. Advise your delivery people suitably to avoid harassment to the clients,0,0,3,behaviour
Bahut badhiya service timely delivered,2,0,4,fallback_support
it was very poor service as I have reviewed in packing a cup instead of multiple function charger which. I have ordered Feedback has been sent,0,0,4,fallback_support
Delivery person very kind,2,2,4,fallback_support
The package is not delivered till now. I am not sure to whom my package worth Rs.6000 was delivered.,0,0,4,fallback_support
Return to my order please,0,0,4,fallback_support
Awesome service delivery tooFast. Polite behaviour of the delivery person.??????,2,2,4,fallback_support
Delivery staff is good. Speak politely and have a good knowledge of location.,2,2,4,fallback_support
I have not received the package and it shows delivered,0,0,2,damage_lost
Timeless delivered on time thank for delivery,2,2,4,fallback_support
This is a Good person and fast delivery service,2,2,4,fallback_support
Delivery partner called me and told me that he couldn't deliver my order because of some reason. However,1,1,4,support
The person is humble and cooperative.,2,2,4,fallback_support
I'm very happy thank you for the order,2,2,4,fallback_support
Vry good service Nice Dilevery Person,2,2,4,fallback_support
Already you have prooved that the service is excellent.,2,2,4,fallback_support
Still I didn't receive my atm card I don't want with whom he gave my debit card,0,0,4,fallback_support
Delivery boy good ? packaging good,2,2,4,fallback_support
I have not received this consignment till now. Some fraud is being played by your employees or delivery personnel. I was expecting this to be delivered. I am going to lodge a police complaint against blue dart delivery tomorrow morning. It is disgusting delaying with such cheats. The status says delivered to MAHA.,0,0,2,damage_lost
Excellent delivery .,2,2,4,fallback_support
I had not received the courier,0,0,2,damage_lost
On Time In full Rain,2,2,4,fallback_support
Best experience with it,2,2,4,fallback_support
If approx time of delivery is provided it would be better. The range should be within 2 hours.,1,1,4,fallback_support
1st refuses to give doorstep deliveryFinally he did,1,1,4,fallback_support
Good personal behavior and good service,2,2,4,fallback_support
Blue dart staff very co operative ?,2,2,4,fallback_support
Delivery boy is very good and also on time Delivery,2,2,4,fallback_support
Yo deliver the parcel before given time,2,2,4,fallback_support
