text,industry,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment,emotion,priority
happy but one day late delivery,logistics,1,0,0,delay,0,1,1
delivery agent did not contact or visit,logistics,0,0,3,behaviour,1,0,2
no thanx,logistics,1,1,4,fallback_support,1,0,0
staff name mentioned,logistics,1,1,4,fallback_support,1,0,0
return process clear and complete,logistics,1,2,7,refund,1,0,0
name only,logistics,1,1,4,fallback_support,1,0,0
delivery boy behaviour bad,logistics,0,0,3,behaviour,0,3,2
damaged product return my order,logistics,0,0,2,damage_lost,0,4,3
minimise gap between out for delivery and delivery,logistics,1,1,4,fallback_support,1,0,0
great experience exceeded expectations,logistics,2,2,4,fallback_support,2,1,0
delivery marked delivered but not received,logistics,1,1,2,damage_lost,0,0,0
received duplicate product fraud,logistics,0,0,4,fallback_support,1,4,3
delivery person polite kind,logistics,2,2,4,fallback_support,2,1,0
asked to collect parcel midway,logistics,0,0,4,fallback_support,1,0,1
delivery boy demanded money misbehaved refused floor delivery,logistics,0,0,3,behaviour,1,0,2
delivery guy reached my location exactly,logistics,1,1,4,fallback_support,1,0,0
received parcel after delay,logistics,1,0,0,delay,0,2,2
received on time extremely happy,logistics,2,2,4,fallback_support,2,1,0
delivery person tampered property caught on cctv,logistics,0,0,2,damage_lost,0,4,3
very bad service forced office pickup,logistics,0,0,4,fallback_support,0,3,2
delivery not at doorstep handed to security,logistics,0,0,4,fallback_support,1,0,1
very happy with otp and kyc verification process,logistics,2,2,4,fallback_support,2,1,0
scammed need refund,logistics,1,0,7,refund,1,4,3
product found to be fake,logistics,0,0,4,fallback_support,0,3,2
account activation delayed for four days after welcome kit no update provided,logistics,0,0,0,delay,0,3,2
delivery boy humble and fast,logistics,2,2,4,fallback_support,2,1,0
vinayak gaikwad very good delivery person,logistics,2,2,4,fallback_support,2,1,0
delivery my product,logistics,1,1,4,fallback_support,1,0,0
delivery guy rude grumpy and impatient,logistics,0,0,3,behaviour,0,3,2
aapka service mujhe accha laga,logistics,2,2,4,fallback_support,2,1,0
return order,logistics,1,1,7,refund,1,0,0
good professional delivery person,logistics,2,2,4,fallback_support,2,1,0
delivery boy very good,logistics,2,2,4,fallback_support,2,1,0
did not receive order,logistics,0,0,2,damage_lost,0,4,3
delivery boy very respectful,logistics,1,1,4,fallback_support,1,0,0
received different product from what was ordered,logistics,0,0,4,fallback_support,1,0,1
delivery made to different address with proof,logistics,1,1,4,fallback_support,1,0,0
priority order delayed,logistics,1,0,0,delay,0,2,2
