text,industry,sentiment,customer_intent,primary_aspect,aspect_sentiment,emotion,priority
Nice Zzzz,logistics,2,2,4,2,1,0
Delivery not received and information wrongly updated,logistics,0,1,2,0,5,3
Very good bihaviar and very humble Boy,logistics,2,2,4,2,1,0
Dilevry boy is too much good,logistics,2,2,4,2,1,0
extremely quick deliver,logistics,2,2,4,2,1,0
Fuhdgggg,logistics,1,5,4,1,0,0
Delivered on time but,logistics,1,2,4,2,0,0
All is well but befor delivery a call or massege should be made so that customer know that delivery man is comming.9,logistics,1,5,4,1,0,0
Market mill jaye isse Badi or rajva Joe,logistics,1,5,4,0,0,0
Good service..Delivery on the time..,logistics,2,2,4,2,1,0
Service is good 9/10 times,logistics,2,2,4,2,1,0
Very good experience till date,logistics,2,2,4,2,1,0
Very poor service courier boy not delivered self received in blue dart office sahadatgnj faizabad 2 days delay delivery not responce,logistics,0,0,0,0,4,2
Improve on prompt delivery,logistics,1,5,4,2,0,0
my box was unboxed,logistics,0,1,4,1,0,1
Deliver to wrong person and fraud. Bank should be blamed. I don? get my credit card. It will be misused Bank should be blamed.,logistics,0,1,4,0,5,3
Old item recived,logistics,0,1,4,1,0,1
Delivery ? agent nature is very polite.,logistics,2,2,4,2,1,0
The best court our service,logistics,2,2,4,2,5,3
The delivery person was very polite and good at delivery of the item,logistics,2,2,4,2,1,0
Good service with timely deliver,logistics,2,2,4,2,1,0
Behaviour of the delivery guy is very bad.,logistics,0,1,4,0,4,2
Happy with Blue Dart Service.,logistics,2,2,4,2,1,0
The delivery lady is very professional,logistics,2,2,4,2,1,0
Not delivered my equipment,logistics,0,0,4,0,4,2
Tushar who usually delivers in our area is a pleasant and efficient agent.,logistics,2,2,4,2,1,0
Everything is perfect. Fast delivery. Delivery person is very polite and cooperative.,logistics,2,2,4,2,1,0
Good service . Humble and polite,logistics,2,2,4,2,1,0
Your delivery executive didn't contact me before returning the mail as I was in office when he attempted. Daily I was prompted for reschedule for more than 4 times without any proper delivery attempt by him. I was made to wait for more than 4 days and it was delivered today. Advise your delivery people suitably to avoid harassment to the clients,logistics,0,1,3,2,5,3
Bahut badhiya service timely delivered,logistics,2,2,4,0,0,0
it was very poor service as I have reviewed in packing a cup instead of multiple function charger which. I have ordered Feedback has been sent,logistics,0,1,4,0,4,2
Delivery person very kind,logistics,2,2,4,2,1,0
The package is not delivered till now. I am not sure to whom my package worth Rs.6000 was delivered.,logistics,0,0,4,0,4,2
