text,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment
Nice Zzzz,2,2,4,fallback_support,2
Delivery not received and information wrongly updated,0,0,2,damage_lost,0
Very good bihaviar and very humble Boy,2,2,4,fallback_support,2
Dilevry boy is too much good,2,2,4,fallback_support,2
extremely quick deliver,2,2,4,fallback_support,2
Fuhdgggg,1,1,4,fallback_support,1
Delivered on time but,1,1,4,fallback_support,2
All is well but befor delivery a call or massege should be made so that customer know that delivery man is comming.9,1,1,4,support,1
Market mill jaye isse Badi or rajva Joe,1,0,4,fallback_support,0
Good service..Delivery on the time..,2,2,4,fallback_support,2
Service is good 9/10 times,2,2,4,fallback_support,2
Very good experience till date,2,2,4,fallback_support,2
Very poor service courier boy not delivered self received in blue dart office sahadatgnj faizabad 2 days delay delivery not responce,0,0,0,delay,0
Improve on prompt delivery,1,1,4,fallback_support,2
my box was unboxed,0,0,4,fallback_support,1
Deliver to wrong person and fraud. Bank should be blamed. I don? get my credit card. It will be misused Bank should be blamed.,0,0,4,fallback_support,0
Old item recived,0,0,4,fallback_support,1
Delivery ? agent nature is very polite.,2,2,4,fallback_support,2
The best court our service,2,2,4,fallback_support,2
The delivery person was very polite and good at delivery of the item,2,2,4,fallback_support,2
Good service with timely deliver,2,2,4,fallback_support,2
Behaviour of the delivery guy is very bad.,0,0,3,behaviour,0
Happy with Blue Dart Service.,2,2,4,fallback_support,2
The delivery lady is very professional,2,2,4,fallback_support,2
Not delivered my equipment,0,0,4,fallback_support,0
Tushar who usually delivers in our area is a pleasant and efficient agent.,2,2,4,fallback_support,2
Everything is perfect. Fast delivery. Delivery person is very polite and cooperative.,2,2,4,fallback_support,2
Good service . Humble and polite,2,2,4,fallback_support,2
Your delivery executive didn't contact me before returning the mail as I was in office when he attempted. Daily I was prompted for reschedule for more than 4 times without any proper delivery attempt by him. I was made to wait for more than 4 days and it was delivered today. Advise your delivery people suitably to avoid harassment to the clients,0,0,7,refund,1
Bahut badhiya service timely delivered,2,0,4,fallback_support,0
it was very poor service as I have reviewed in packing a cup instead of multiple function charger which. I have ordered Feedback has been sent,0,0,6,pricing,0
Delivery person very kind,2,2,4,fallback_support,2
The package is not delivered till now. I am not sure to whom my package worth Rs.6000 was delivered.,0,0,4,fallback_support,0
Return to my order please,0,0,7,refund,0
Awesome service delivery tooFast. Polite behaviour of the delivery person.??????,2,2,3,behaviour,2
Delivery staff is good. Speak politely and have a good knowledge of location.,2,2,4,fallback_support,2
I have not received the package and it shows delivered,0,0,2,damage_lost,0
Timeless delivered on time thank for delivery,2,2,4,fallback_support,2
This is a Good person and fast delivery service,2,2,4,fallback_support,2
Delivery partner called me and told me that he couldn't deliver my order because of some reason. However,1,1,4,support,1
The person is humble and cooperative.,2,2,4,fallback_support,2
