text,label
Need proper application form and  Need to cross check by your team account holder details befor opening account in online/offline.,0
  Pin card ,0
 Bank khate ki Jama Rashi kam rakhen,0
Clearly maintain this is not zero account this bank is zero free chargers ,0
Please open some branches of your bank in rural areas .,0
Initially the direct link for video KYC was not working. I've to re-login in order to complete my KYC. Else everything was great.,0
International and domestic lounge access without spending limitations of credit card will have  better for us,0
"The loan was transferred, IDFC First Bank, which is compulsory saving account for installment cut, is a little strange, it is also strange to maintain a balance of ten thousand, if someone has the same money then why will he take the loan.",0
Aapki vikas puri branch ke employee shayad nitin naam hai....bahut badtameez hain...  Unhe badal do bas.....   Baaki sab ok hai...thank you ?,0
0 ?????? ?? ?????? ?? ??? ???????? ?? ni ???? ?? ,0
1 mobile number could not be added in 2 accounts.,0
Certain parts of KYC can be automated and picked up from central database. ,0
Your executive by the name Shraddha who works in the Chembur Branch has been really helpful throughout the process. I loved her attitude and behaviour. There is nothing else required to improve the experience provided by the bank.,0
1st tell me reason to why I am unable to do transaction,0
9417692634 change the number 888721-88434,0
A lot needs to improve. the list is so big I don't want to write all details.,0
"Please change my account maintenance balance. 
",0
A moment of joyful and happiness with your bank management ,0
"A on my account they told I will get first tap stickers as well as they didn�t tell that I will not get separate card for my guardian and it�s very restrictive account, so it�s no use for us . Felt waste of time .",0
A phone call by Bank's responsible officer,0
A/C Opened 10 days completed till today not received ATM Card and no communication but still rated hope will understand and clear the issue ,0
"Minimum balance should be reduced to ?10, 000/-.
It is affordable for middle class people to operate SBA/c.",0
"Aadhar linked mobile attached with account , provide option to add another mobile number for bank account",0
Aap doesn't work in lower android device ,0
"Add online joint account facility.
Should be able to open joint account irrespective of the present address, since you can take adhaar consent to self sign current address.",0
Abhi to koi kami ni hai abhi abhi to join Kiya Hai abhi tk sab kuch achaa hai jaise sab jahg hotaa hai aage k liyee dekhte hai,0
Account Abhi Tak nahin Chala ab sim mein batane ki problem hai,0
Account number close Karna hai ,0
My branch is 180km away from where I live. What if I need to visit to bank for cheque and any other reasons. I will have to travel to 180km from my house? That's problematic and inconvenience for me. Also it was not specified that I am getting branch that far from my house otherwise I wouldn't have opened the account. ,0
Adding option to open Select and wealth saving account online would be more beneficial and time saving for customers,0
Welcome kit not received ,0
Plzz improve online ekyc process,0
It�s should be in one attempt ,0
Addition of nominee could not happen initially. ,0
"The executive told me to open a zero balance account. After opening, I got a message that your average balance is Rs 25,000 so I want to close this account without using your saving account services.",0
Address change process please make it fast and live.,0
Advertisement my be visible for what it's there for ,0
"Very much time consuming
 not receive checkbook and debit card, how can i operate the bank account six days enough time to send checkbook and debit card? not received till now.",0
"Agent asked to transfer the amount to the newly opened sales account through UPI, I immediately transferred ,25000 and it didn't get reflected... It was reversed to my account the next day... So was not a smooth process... Very unsatisfied ",0
Agent beabiher very bad,0
Agent ka call nhi aaya ,0
"Agent needs to clearly explain that all documents that he is collecting is secure. While this was explained to me, the fact that it was made on his personal device, however secure made me bit uncomfortable. ",0
"Lack of knowledge of the banking services provided by the bank itself. Hence handling of customer are not at requirements . Result customer service is affected, and to some extent customers are unnecessary harrassed.
However atitude and behaviour of all employees of the bank is excellent only lack of knowledge of the bank services offered by the bank itself. It is due to inadequate training offered to staffs/ employees of the bank. I being a shareholder of this bank faces multiple issues while opening a Savings Bank which should be regularise immediately. 


",0
I have still not received cheque book in welcome kit,0
Agents are not clear guidelines so I am not satisfied ,0
Airconditioner was not working properly.,0
"All false promises, lies, and asking for otp over phone. Your relationship managers are not reliable at all. ",0
Make this account zero balance ,0
"I tried Video KYC BUT it�s not done , it is saying I am using some proxy server and try after sometime but I tried many time and it�s been 1 week that I am trying but waste.

Please help",0
Your credit card verification team seems to be incompetent. They were too lazy to verify my office address and as a result my application got rejected. Thank you. ,0
"RM not responsive, KYC not working",0
"Everything was good except the kyc during 6-7pm was terrible. Call got disconnected 7-8times. I couldn't complete. Tried after 9pm it was smooth.
Also one more issue was with blue dart delivery guys attitude is too much, they are arrogant. They have sent back my debit card. Now I have to place the request again.",0
All services option are available but every time I need to find this options which is applicable to me,0
"RUPAY debit card was primary reason for opening account. That is still NOT received,despite daily reminder to chembur branch person who opened the account. Please get it done or arrange call back.",0
"In ""App"" there is no provision to update address or change address.
Bank must be instructed to your ""dispatching parcels Agent"" i.e. BlueDart if parcel not delivered then return to Home Branch not Mumbai.
",0
The staff promptness and service doesn�t leave the need for anything else ,0
The arrival of debit card & welcome kit arrival is taking time. It has been 1 week since I had opened a savings account but didn't yet received welcome kit or debit card. I was told that it would take 3-4 working days to arrive.,0
Please give some opportunity to open zero balance account with zero maintenance ,0
Not received cheque book.,0
