text,industry,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment,emotion,priority,primary_aspect_name
Nice Zzzz,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery not received and information wrongly updated,logistics,0,0,7,damage_lost,0,4,3,service_quality
Very good bihaviar and very humble Boy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Dilevry boy is too much good,logistics,2,2,7,fallback_support,2,1,0,service_quality
extremely quick deliver,logistics,2,2,7,fallback_support,2,1,0,service_quality
Fuhdgggg,logistics,1,1,7,fallback_support,1,0,0,service_quality
Delivered on time but,logistics,1,1,7,fallback_support,2,0,0,service_quality
All is well but befor delivery a call or massege should be made so that customer know that delivery man is comming.9,logistics,1,1,7,support,1,0,0,service_quality
Market mill jaye isse Badi or rajva Joe,logistics,1,0,7,fallback_support,0,0,0,service_quality
Good service..Delivery on the time..,logistics,2,2,7,fallback_support,2,1,0,service_quality
Service is good 9/10 times,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very good experience till date,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very poor service courier boy not delivered self received in blue dart office sahadatgnj faizabad 2 days delay delivery not responce,logistics,0,0,0,delay,0,3,2,delivery_failures
Improve on prompt delivery,logistics,1,1,7,fallback_support,2,0,0,service_quality
my box was unboxed,logistics,0,0,7,fallback_support,1,0,1,service_quality
Deliver to wrong person and fraud. Bank should be blamed. I don? get my credit card. It will be misused Bank should be blamed.,logistics,0,0,1,fallback_support,0,4,3,wrong_delivery
Old item recived,logistics,0,0,7,fallback_support,1,0,1,service_quality
Delivery ? agent nature is very polite.,logistics,2,2,7,fallback_support,2,1,0,service_quality
The best court our service,logistics,2,2,7,fallback_support,2,4,3,service_quality
The delivery person was very polite and good at delivery of the item,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good service with timely deliver,logistics,2,2,7,fallback_support,2,1,0,service_quality
Behaviour of the delivery guy is very bad.,logistics,0,0,7,behaviour,0,3,2,service_quality
Happy with Blue Dart Service.,logistics,2,2,7,fallback_support,2,1,0,service_quality
The delivery lady is very professional,logistics,2,2,7,fallback_support,2,1,0,service_quality
Not delivered my equipment,logistics,0,0,0,fallback_support,0,3,2,delivery_failures
Tushar who usually delivers in our area is a pleasant and efficient agent.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Everything is perfect. Fast delivery. Delivery person is very polite and cooperative.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good service . Humble and polite,logistics,2,2,7,fallback_support,2,1,0,service_quality
Your delivery executive didn't contact me before returning the mail as I was in office when he attempted. Daily I was prompted for reschedule for more than 4 times without any proper delivery attempt by him. I was made to wait for more than 4 days and it was delivered today. Advise your delivery people suitably to avoid harassment to the clients,logistics,0,0,2,refund,1,4,3,agent_behaviour
Bahut badhiya service timely delivered,logistics,2,0,7,fallback_support,0,0,0,service_quality
it was very poor service as I have reviewed in packing a cup instead of multiple function charger which. I have ordered Feedback has been sent,logistics,0,0,7,pricing,0,3,2,service_quality
Delivery person very kind,logistics,2,2,7,fallback_support,2,1,0,service_quality
The package is not delivered till now. I am not sure to whom my package worth Rs.6000 was delivered.,logistics,0,0,0,fallback_support,0,3,2,delivery_failures
Return to my order please,logistics,0,0,7,refund,0,4,3,service_quality
Awesome service delivery tooFast. Polite behaviour of the delivery person.??????,logistics,2,2,7,behaviour,2,1,0,service_quality
Delivery staff is good. Speak politely and have a good knowledge of location.,logistics,2,2,7,fallback_support,2,1,0,service_quality
I have not received the package and it shows delivered,logistics,0,0,7,damage_lost,0,4,3,service_quality
Timeless delivered on time thank for delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
This is a Good person and fast delivery service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery partner called me and told me that he couldn't deliver my order because of some reason. However,logistics,1,1,7,support,1,0,0,service_quality
The person is humble and cooperative.,logistics,2,2,7,fallback_support,2,1,0,service_quality
I'm very happy thank you for the order,logistics,2,2,7,fallback_support,2,1,0,service_quality
Vry good service Nice Dilevery Person,logistics,2,2,7,fallback_support,2,1,0,service_quality
Already you have prooved that the service is excellent.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Still I didn't receive my atm card I don't want with whom he gave my debit card,logistics,0,0,7,fallback_support,1,0,1,service_quality
Delivery boy good ? packaging good,logistics,2,2,7,fallback_support,2,1,0,service_quality
